"WID","login_count","level","playcount_sum","playtime_sum"
W10773,6,9,5,4671
W10774,63,31,167,87769
W10775,162,30,301,85310
W10776,68,39,135,161935
W10778,4,1,1,510
W10780,113,41,236,221071
W10781,296,35,166,115277
W10782,19,13,3,1707
W10786,9,7,5,5536
W10789,15,10,6,5642
W10790,27,23,26,21584
W10791,293,41,342,221528
W10792,211,26,75,39411
W10793,17,14,14,8796
W10794,78,32,121,89340
W10795,3,1,2,2067
W10796,12,17,3,664
W10797,20,23,30,24610
W10798,3,1,4,2469
W10799,28,18,12,12102
W10800,4,5,3,2176
W10801,5,1,1,916
W10802,2,1,1,1038
W10803,16,16,1,454
W10804,24,16,14,11622
W10805,36,10,10,5347
W10806,1,1,1,1585
W10807,9,7,2,2059
W10808,8,10,10,7571
W10809,13,5,3,1782
W10812,16,1,1,792
W10813,13,19,26,20729
W10814,3,1,5,5597
W10815,1689,58,2789,1455082
W10816,7,4,4,2124
W10817,6,13,35,15856
W10818,3,1,1,0
W10819,192,27,233,88529
W10820,3,1,1,1441
W10823,6,3,2,1008
W10824,2196,50,2297,863400
W10826,519,46,1086,391614
W10827,16,5,5,3042
W10831,7,13,11,12002
W10832,40,12,2,1155
W10834,124,29,66,64075
W10835,10,16,16,18474
W10836,5,12,3,4634
W10837,9,7,2,3156
W10838,448,36,224,121758
W10840,5,7,1,1529
W10841,25,19,20,17489
W10842,8,16,5,7565
W10843,1004,42,473,243798
W10844,75,26,74,34738
W10845,106,20,23,28932
W10846,83,11,9,3638
W10847,3,1,2,1995
W10848,1,1,1,1552
W10849,108,38,190,149564
W10850,181,39,457,248738
W10853,65,21,56,26213
W10854,7,1,1,620
W10855,2,6,2,3083
W10856,85,20,28,18124
W10857,4,8,3,3827
W10858,145,33,117,74691
W10859,8,3,1,587
W10861,9,14,9,10493
W10862,2,5,1,1581
W10863,24,20,20,11998
W10864,884,52,1976,939055
W10865,2,5,1,1604
W10866,2,1,1,1643
W10868,2,5,1,1594
W10869,2,1,3,2004
W10870,12,7,3,1596
W10871,3,1,2,1082
W10872,1048,28,71,60966
W10873,3,4,2,2969
W10874,4,1,2,801
W10875,41,20,32,24901
W10876,79,33,174,102828
W10877,2,1,2,850
W10878,624,45,1358,457261
W10880,4,2,1,682
W10881,115,38,188,129690
W10882,5,7,1,1593
W10883,41,23,35,28954
W10884,3,1,1,488
W10886,35,20,36,17316
W10887,8,6,3,3660
W10888,1,1,5,2124
W10889,5,8,2,2971
W10890,13,11,11,7199
W10891,4,12,8,6078
W10892,26,12,8,7498
W10894,13,13,11,8759
W10895,147,33,156,118354
W10896,5,1,1,582
W10899,6,1,1,697
W10900,17,5,3,2594
W10901,3,9,3,4063
W10902,25,21,33,22344
W10903,34,17,13,17804
W10906,60,22,39,24943
W10908,3,1,3,3389
W10909,39,16,13,8012
W10910,129,24,26,17265
W10911,11,15,10,13031
W10912,57,13,8,7437
W10913,20,15,2,2160
W10914,8,5,6,4966
W10915,22,9,4,4942
W10916,170,38,362,227730
W10917,5,3,1,899
W10920,10,10,8,3116
W10921,22,21,26,30563
W10922,2,1,3,1177
W10924,2,5,4,5064
W10925,1,1,1,375
W10926,11,5,3,2276
W10927,3,2,1,231
W10928,6,2,3,1286
W10929,12,21,16,16870
W10930,9,8,9,7174
W10931,529,39,1137,468108
W10932,9,1,1,1563
W10933,16,17,36,24397
W10934,19,10,8,8145
W10936,10,10,10,6590
W10938,86,27,121,51729
W10940,2,6,2,1687
W10941,98,32,85,60010
W10942,46,28,122,81014
W10944,3,1,2,1134
W10945,7,13,3,4668
W10946,10,10,4,4052
W10948,4,3,2,2131
W10952,81,21,40,24642
W10953,16,15,15,7958
W10954,2,1,1,846
W10955,4,5,1,1488
W10956,1182,44,429,167019
W10957,6,3,1,448
W10958,11,18,15,10337
W10959,80,16,6,3663
W10960,121,31,150,91845
W10961,16,18,16,8770
W10962,51,21,15,8141
W10964,489,43,1365,534056
W10965,3,9,3,3956
W10966,3,5,3,2529
W10967,273,36,172,153711
W10968,17,15,16,13951
W10969,160,37,497,272988
W10971,27,19,45,17401
W10972,12,10,10,6055
W10973,36,16,12,13780
W10976,1,1,1,1692
W10977,10,8,2,2623
W10979,39,10,7,4883
W10980,8,20,14,12730
W10981,61,24,33,23775
W10982,121,31,134,67122
W10983,27,16,13,5783
W10985,16,11,4,3953
W10987,10,6,7,4361
W10988,4,1,1,842
W10989,148,30,243,108140
W10990,4,2,3,1659
W10991,35,19,20,16908
W10993,15,6,3,2065
W10994,7,1,1,1658
W10996,2,1,3,3916
W10997,27,18,18,7297
W10999,5,6,3,3470
W11000,13,6,2,1666
W11003,451,43,815,367417
W11004,21,4,2,1640
W11005,189,30,121,65734
W11006,9,16,11,10273
W11007,2,5,1,1533
W11008,15,9,3,1678
W11009,248,41,324,307723
W11010,5,8,3,3338
W11011,41,29,90,59043
W11012,3,1,2,834
W11013,163,33,126,79302
W11015,3,6,1,1548
W11017,180,31,74,75637
W11018,6,4,3,2398
W11021,10,4,2,641
W11023,8,12,19,13010
W11024,11,2,6,3955
W11025,538,43,1023,459734
W11026,15,14,15,16596
W11028,1,1,1,1524
W11029,15,13,43,21046
W11030,2,1,1,1573
W11031,7,1,1,535
W11032,33,24,38,30878
W11034,4,6,1,1633
W11037,4,5,8,3701
W11038,5,5,1,1580
W11039,292,47,413,314516
W11040,26,16,10,7336
W11041,5,4,3,2058
W11042,62,20,40,17921
W11043,117,37,165,173205
W11044,10,14,10,7489
W11045,18,6,2,3159
W11046,8,1,2,1545
W11047,13,18,23,12821
W11048,2,4,3,3990
W11049,4,6,2,1776
W11050,15,15,14,12731
W11051,7,15,7,8954
W11052,4,1,1,1524
W11053,6,3,1,628
W11054,1,1,2,884
W11056,21,19,27,25523
W11057,72,18,33,18620
W11058,3,9,3,4979
W11059,3,5,1,1689
W11060,2,1,2,2497
W11061,12,8,4,2235
W11063,121,26,172,68679
W11064,3,1,1,1239
W11065,3,6,1,1613
W11066,1,1,1,1503
W11067,2,1,1,1601
W11068,14,3,7,3694
W11069,7,4,4,2538
W11070,4,5,1,1555
W11072,2,1,3,2393
W11073,3,1,1,89
W11074,16,21,23,23778
W11075,53,34,147,80023
W11076,7,11,15,10392
W11078,25,23,19,18487
W11079,2,5,1,1564
W11080,26,18,33,22448
W11081,13,13,14,11106
W11082,3,1,5,4820
W11087,12,12,7,7023
W11088,4,1,1,563
W11089,21,20,15,9101
W11090,20,22,27,22208
W11091,2,2,2,1777
W11092,6,2,2,849
W11095,5,7,5,5526
W11097,6,12,11,7994
W11098,16,20,38,25365
W11100,29,19,25,19464
W11101,1,1,1,1601
W11102,3,5,1,1594
W11103,3,4,1,1581
W11104,92,25,153,68470
W11105,6,6,8,6330
W11107,2,1,1,940
W11108,470,47,451,391999
W11109,137,36,185,136174
W11110,2,2,1,126
W11111,35,10,12,8007
W11112,455,45,903,358899
W11113,3,1,2,2018
W11114,9,16,5,7470
W11118,6,9,6,6912
W11121,17,18,29,16066
W11122,22,21,23,24312
W11124,18,16,15,12927
W11125,324,36,407,176241
W11127,8,8,7,5930
W11128,1,1,2,3130
W11129,5,6,1,1697
W11130,11,8,3,3666
W11132,16,11,7,4729
W11135,3,5,1,799
W11136,96,30,145,75918
W11137,2,1,2,3106
W11140,3,1,3,2356
W11141,3,4,3,4146
W11144,2,5,1,1827
W11145,5,12,46,19972
W11146,2,3,2,1055
W11147,39,20,26,17308
W11148,18,16,12,9095
W11149,90,28,204,84162
W11150,36,15,20,7860
W11151,1,1,3,2392
W11152,26,16,20,11540
W11153,16,14,7,8772
W11154,2,5,5,4111
W11155,1,1,1,1617
W11156,8,6,3,2040
W11157,4,5,3,3401
W11158,62,23,79,45770
W11159,108,31,56,69912
W11160,8,20,18,19132
W11161,59,11,13,9206
W11162,3,5,1,1647
W11163,28,36,98,129712
W11164,2,1,6,9381
W11165,2,6,2,1654
W11166,45,24,58,45620
W11168,2,1,3,3883
W11169,9,1,1,90
W11170,2,1,1,60
W11171,39,21,3,3122
W11172,64,21,14,6993
W11174,4,8,3,3296
W11176,102,22,35,14148
W11177,6,2,2,440
W11178,5,1,1,1510
